_id,code,actualController,actualControllerType
5f4adead2018c1179b9dd3e9,600152,何承命,个人
5f4adead2018c1179b9dd3ee,600158,国家体育总局,中央国家机关
5f4adead2018c1179b9dd424,600220,陆克平,个人
5f4adead2018c1179b9dd42f,600232,傅国定,个人
5f4adead2018c1179b9dd441,600255,李瑞金,个人
5f4adead2018c1179b9dd443,600257,罗祖亮,个人
5f4adead2018c1179b9dd46c,600306,黄茂如,个人
5f4adead2018c1179b9dd46e,600308,李建华,个人
5f4adead2018c1179b9dd474,600315,FALSE,
5f4adead2018c1179b9dd477,600318,安徽省供销合作社联合社,集体企业
5f4adead2018c1179b9dd478,600319,FALSE,
5f4adead2018c1179b9dd47d,600325,珠海市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd499,600360,曾涛,个人
5f4adead2018c1179b9dd4a2,600370,卞兴才,个人
5f4adead2018c1179b9dd4b1,600387,铜川市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd4dc,600458,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd4fa,600498,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd500,600505,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd501,600506,中华人民共和国财政部,中央国家机关
5f4adead2018c1179b9dd513,600526,浙江省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd519,600532,俞倪荣、谢雨彤,个人
5f4adead2018c1179b9dd51b,600535,闫凯境、闫希军、吴迺峰、李畇慧,个人
5f4adead2018c1179b9dd540,600579,中国化工集团有限公司,中央国有企业
5f4adead2018c1179b9dd54a,600589,杨宝生,个人
5f4adead2018c1179b9dd56f,600633,浙江日报报业集团,地方国有企业
5f4adead2018c1179b9dd573,600637,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd57e,600649,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd597,600681,王东海,个人
5f4adead2018c1179b9dd5bc,600720,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5e7,600766,徐诚东,个人
5f4adead2018c1179b9dd5e8,600767,戴学斌、董翔,个人
5f4adead2018c1179b9dd5ee,600774,阎志,个人
5f4adead2018c1179b9dd5f8,600784,山东省国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5ff,600793,宜宾市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd620,600829,FALSE,
5f4adead2018c1179b9dd3c1,600106,FALSE,
5f4adead2018c1179b9dd3c9,600114,FALSE,
5f4adead2018c1179b9dd3d4,600126,浙江省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3df,600138,中华人民共和国国务院,中央国家机关
5f4adead2018c1179b9dd3e3,600145,黄伟,个人
5f4adead2018c1179b9dd3f4,600165,虞建明,个人
5f4adead2018c1179b9dd405,600185,珠海市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd415,600202,哈尔滨市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd418,600207,河南省财政厅,地方政府
5f4adead2018c1179b9dd42b,600228,北京市国有文化资产管理中心,地方政府
5f4adead2018c1179b9dd448,600262,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd44b,600267,台州市椒江区人民政府,地方政府
5f4adead2018c1179b9dd47c,600323,佛山市南海区国有资产监督管理局,地方政府
5f4adead2018c1179b9dd49e,600366,竺韵德,个人
5f4adead2018c1179b9dd4bd,600400,周海江、周耀庭、周海燕、刘连红、顾萃,个人
5f4adead2018c1179b9dd4d4,600439,郑有全,个人
5f4adead2018c1179b9dd4f4,600490,姜照柏,个人
5f4adead2018c1179b9dd4fc,600500,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd503,600508,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd51d,600537,古耀明,个人
5f4adead2018c1179b9dd524,600547,山东省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd527,600550,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd529,600552,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd52c,600557,肖伟,个人
5f4adead2018c1179b9dd54f,600595,"MaxonLimited、张志平,张高波",个人
5f4adead2018c1179b9dd550,600596,徐冠巨,个人
5f4adead2018c1179b9dd558,600604,上海市静安区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd55c,600609,辽宁省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd55d,600610,信达证券股份有限公司,其他
5f4adead2018c1179b9dd563,600617,山西省人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd565,600619,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd577,600641,朱旭东、李勇军、王晴华,个人
5f4adead2018c1179b9dd58b,600664,FALSE,
5f4adead2018c1179b9dd5ab,600702,周政,个人
5f4adead2018c1179b9dd5b3,600711,姚雄杰,个人
5f4adead2018c1179b9dd5c2,600726,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd5dd,600755,厦门市人民政府国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd5fa,600787,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd60b,600807,济南高新技术产业开发区管理委员会,地方政府
5f4adead2018c1179b9dd617,600820,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd61a,600823,许荣茂,个人
5f4adead2018c1179b9dd61b,600824,上海市黄浦区国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd629,600839,绵阳市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3b9,600097,上海市国有资产监督管理委员会,地方国资委
5f4adead2018c1179b9dd3bb,600099,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3dc,600135,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3e1,600141,兴山县人民政府国有资产监督管理局,地方政府
5f4adead2018c1179b9dd3e8,600151,国务院国有资产监督管理委员会,国资委
5f4adead2018c1179b9dd3f5,600166,北京市人民政府国有资产监督管理委员会,地方国资委
