stockCode,stockName,controller,originalControllerType,newControllerType,hasForeignController,clean
300396.SZ,迪瑞医疗,宋勇,个人,中央国有企业,,中央国有企业
300398.SZ,飞凯材料,张金山,个人,境外,1,
300402.SZ,宝色股份,陕西省国有资产监督管理委员会,地方国资委,其他,,其他
300415.SZ,伊之密,甄荣辉、陈敬财、梁敬华,个人,个人;境外,1,个人;
300425.SZ,中建环能,,,国资委,,国资委
300426.SZ,唐德影视,吴宏亮,个人,其他,,其他
300433.SZ,蓝思科技,周群飞、郑俊龙,个人,个人;境外,1,个人;
300461.SZ,田中精机,竹田享司、竹田周司,个人,境外,1,
300463.SZ,迈克生物,唐勇、王登明、郭雷、刘启林,个人,境外;个人,1,;个人
300466.SZ,赛摩智能,厉达、厉冉、王茜,个人,地方国资委,,地方国资委
300470.SZ,中密控股,四川省机械研究设计院,集体企业,其他,,其他
300483.SZ,沃施股份,吴海林、吴海江、吴君亮、吴汝德、吴君美,个人,其他;个人,,其他;个人
300486.SZ,东杰智能,姚卜文、姚长杰,个人,境外;个人,1,;个人
300493.SZ,润欣科技,葛琼、郎晓刚,个人,境外,1,
300523.SZ,辰安科技,清华大学,大学,国资委,,国资委
300531.SZ,优博讯,"郭颂,陈弋寒、刘丹",个人,境外,1,
300548.SZ,博创科技,朱伟,个人,境外,1,
300549.SZ,优德精密,曾正雄,个人,境外,1,
300579.SZ,数字认证,北京市国有资产经营有限责任公司,地方国资委,地方国有企业,,地方国有企业
300606.SZ,金太阳,胡秀英、杨璐、杨勍、杨稹,个人,境外;个人,1,;个人
300620.SZ,光库科技,吴玉玲,个人,境外,1,
300622.SZ,博士眼镜,ALEXANDERLIU、LOUISAFAN,个人,境外,1,
300626.SZ,华瑞股份,孙瑞良,个人,地方国资委,,地方国资委
300636.SZ,同和药业,庞正伟、梁忠诚,个人,境外;个人,1,;个人
300639.SZ,凯普生物,王建瑜、管乔中、管秩生、管子慧,个人,境外,1,
300649.SZ,杭州园林,,,个人,,个人
300655.SZ,晶瑞股份,罗培楠,个人,境外,1,
300668.SZ,杰恩设计,姜峰,个人,境外,1,
300671.SZ,富满电子,刘景裕,个人,境外,1,
300683.SZ,海特生物,陈亚、吴洪新、陈宗敏,个人,境外;个人,1,;个人
300684.SZ,中石科技,叶露、吴晓宁、吴憾,个人,境外;个人,1,;个人
300716.SZ,国立科技,邵鉴棠、杨娜,个人,境外,1,
300730.SZ,科创信息,费耀平、李杰、李建华、刘星沙、刘应龙,个人,,,
300735.SZ,光弘科技,唐建兴,个人,境外,1,
300741.SZ,华宝股份,朱林瑶,个人,境外,1,
300746.SZ,汉嘉设计,岑政平、欧薇舟,个人,境外,1,
300747.SZ,锐科激光,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
300750.SZ,宁德时代,曾毓群、李平,个人,境外;个人,1,;个人
300759.SZ,康龙化成,BoliangLou、楼小强、郑北,个人,个人;境外,1,个人;
300760.SZ,迈瑞医疗,李西廷、徐航,个人,境外,1,
300769.SZ,德方纳米,吉学文、孔令涌、赵旭、WANGCHEN、WANGJOSEPHYUANZHENG,个人,个人;境外,1,个人;
300770.SZ,新媒股份,广东广播电视台,地方政府,地方国有企业,,地方国有企业
300782.SZ,卓胜微,许志翰、ChenhuiFeng、ZhuangTang,个人,境外;个人,1,;个人
300824.SZ,北鼎股份,GEORGEMOHANZHANG、张北,个人,境外;个人,1,;个人
300859.SZ,西域旅游,阜康市国有资产监督管理局,地方政府,地方国资委,,地方国资委
