sentence,keywords,parent,level,name,title,stockName,stockCode,degrees,positions,mbas,totalCount
"北京航空航天大学管理学院管理工程专业,工学硕士","[""北京航空航天大学""]","北京航空航天大学管理学院管理工程专业,工学硕士",1,董海,董事,深天马Ａ,000050,"[""硕士""]",[],"[""管理学""]",2
曾任中国航空技术国际控股有限公司总经理助理兼国际业务发展与管理部部长、中国航空技术国际控股有限公司经营管理部经理、中航投资控股有限公司综合部部长、中国航空技术进出口总公司企业管理部副经理、北京航空航天大学总务长办公室副主任,"[""北京航空航天大学""]",曾任中国航空技术国际控股有限公司总经理助理兼国际业务发展与管理部部长、中国航空技术国际控股有限公司经营管理部经理、中航投资控股有限公司综合部部长、中国航空技术进出口总公司企业管理部副经理、北京航空航天大学总务长办公室副主任,1,董海,董事,深天马Ａ,000050,[],"[""主任""]",[],1
"1988年研究生毕业于电子科技大学半导体专业,现任电子科技大学集成电路研究中心主任,兼任成都市半导体行业协会首席专家,四川省电子学会半导体集成技术专委会主任,国家“核心电子器件、高端通用芯片及基础软件产品”科技重大专项总体组专家(2008-2013),国家“极大规模集成电路制造装备及成套工艺”科技重大专项总体组特聘专家,国家自然科学基金委员会第十二届专家评审组专家,国家集成电路人才培养基地专家组专家等","[""电子科技大学""]","1988年研究生毕业于电子科技大学半导体专业,现任电子科技大学集成电路研究中心主任,兼任成都市半导体行业协会首席专家,四川省电子学会半导体集成技术专委会主任,国家“核心电子器件、高端通用芯片及基础软件产品”科技重大专项总体组专家(2008-2013),国家“极大规模集成电路制造装备及成套工艺”科技重大专项总体组特聘专家,国家自然科学基金委员会第十二届专家评审组专家,国家集成电路人才培养基地专家组专家等",1,张波,独立董事,深 赛 格,000058,"[""硕士""]","[""主任""]",[],2
"高建勋先生,1978年生,中国共产党党员,清华大学公共管理硕士,中国人民大学管理学博士,曾任东方园林股份有限公司生态集团副总裁、东旭蓝天新能源股份有限公司生态事业部副总裁,现任东旭集团有限公司董事长办公室副主任","[""中国人民大学""]","高建勋先生,1978年生,中国共产党党员,清华大学公共管理硕士,中国人民大学管理学博士,曾任东方园林股份有限公司生态集团副总裁、东旭蓝天新能源股份有限公司生态事业部副总裁,现任东旭集团有限公司董事长办公室副主任",1,高建勋,监事会主席,东旭蓝天,000040,"[""博士"",""硕士""]","[""主任""]","[""管理学""]",4
"陈宏良,男,1968年11月出生,研究员级高级经济师,中山大学经济学学士,同济大学工商管理硕士,中欧国际工商学院EMBA","[""同济大学""]","陈宏良,男,1968年11月出生,研究员级高级经济师,中山大学经济学学士,同济大学工商管理硕士,中欧国际工商学院EMBA",1,陈宏良,"董事长,董事",深天马Ａ,000050,"[""本科"",""硕士""]","[""研究员""]","[""MBA"",""工商管理""]",5
"李京,女,39岁,获北京航空航天大学学士学位","[""北京航空航天大学""]","李京,女,39岁,获北京航空航天大学学士学位",1,李京,副总裁,神州数码,000034,"[""本科""]",[],[],1
"北京大学公共管理硕士(MPA)专业硕士,西安交通大学应用经济学专业硕士","[""西安交通大学""]","北京大学公共管理硕士(MPA)专业硕士,西安交通大学应用经济学专业硕士",1,陈玲,监事会主席,中洲控股,000042,"[""硕士""]",[],[],1
"硕士毕业于同济大学、阿肯色大学沃尔顿商学院,分别获得MBA学位(主攻方向:人力资源)和EMBA学位(主攻方向:物流供应链及快速消费品)","[""同济大学""]","硕士毕业于同济大学、阿肯色大学沃尔顿商学院,分别获得MBA学位(主攻方向:人力资源)和EMBA学位(主攻方向:物流供应链及快速消费品)",1,王培,独立董事,皇庭国际,000056,"[""硕士""]",[],"[""MBA""]",2
"叶晓东,男,1973年出生,中共党员,本科毕业于中国人民大学会计系会计专业,吉林大学世界经济专业研究生","[""中国人民大学""]","叶晓东,男,1973年出生,中共党员,本科毕业于中国人民大学会计系会计专业,吉林大学世界经济专业研究生",1,叶晓东,"副总经理,财务总监",中洲控股,000042,"[""本科"",""硕士""]",[],[],2
"汪名川，男，1966年出生，同济大学管理工程专业硕士、中欧国
际工商学院EMBA，高级会计师","[""同济大学""]","汪名川，男，1966年出生，同济大学管理工程专业硕士、中欧国
际工商学院EMBA，高级会计师",1,汪名川,董事,深天马Ａ,000050,"[""硕士""]",[],"[""MBA""]",2
"熊建明:男,63岁,工商管理哲学博士,高级工程师,北京建筑工程学院及南昌大学兼职教授","[""南昌大学""]","熊建明:男,63岁,工商管理哲学博士,高级工程师,北京建筑工程学院及南昌大学兼职教授",1,熊建明,总裁,方大集团,000055,"[""博士""]","[""教授""]","[""工商管理""]",3
"刘海波先生,男,1980年出生,毕业于哈尔滨商业大学法学院及西北工业大学管理学院,获法学学士学位及工商管理硕士学位,北京大学汇丰商学院EMBA在读","[""西北工业大学""]","刘海波先生,男,1980年出生,毕业于哈尔滨商业大学法学院及西北工业大学管理学院,获法学学士学位及工商管理硕士学位,北京大学汇丰商学院EMBA在读",1,刘海波,常务副总经理,皇庭国际,000056,"[""本科"",""硕士""]",[],"[""MBA"",""管理学"",""工商管理""]",5
"李女士于1999年毕业于西安交通大学,获得管理学学士及工学学士学位","[""西安交通大学""]","李女士于1999年毕业于西安交通大学,获得管理学学士及工学学士学位",1,李莹,"财务总监,执行副总裁",中兴通讯,000063,"[""本科""]",[],"[""管理学""]",2
"于2002年毕业于西安交通大学管理科学与工程专业,获得管理学硕士学位","[""西安交通大学""]","于2002年毕业于西安交通大学管理科学与工程专业,获得管理学硕士学位",1,李莹,"财务总监,执行副总裁",中兴通讯,000063,"[""硕士""]",[],"[""管理学""]",2
"1990年7月毕业于上海同济大学市政工程专业,获工学博士","[""同济大学""]","1990年7月毕业于上海同济大学市政工程专业,获工学博士",1,韩德宏,"董事长,董事",天健集团,000090,"[""博士""]",[],[],1
"刘晨晖先生,中国国籍,毕业于电子科技大学微电子科学与工程系半导体物理与器件专业,大学本科学历","[""电子科技大学""]","刘晨晖先生,中国国籍,毕业于电子科技大学微电子科学与工程系半导体物理与器件专业,大学本科学历",1,刘晨晖,监事会主席,中国长城,000066,"[""本科""]",[],[],1
"西安电子科技大学电子与通信工程专业,工程硕士学位","[""电子科技大学""]","西安电子科技大学电子与通信工程专业,工程硕士学位",1,刘晨晖,监事会主席,中国长城,000066,"[""硕士""]",[],[],1
"王培先,男,1971年8月生,山东滕州人,复旦大学经济学博士,1995年7月毕业于西安交通大学物理学本科,1995年8月至1996年12月任青岛海信电器公司技术员,1997年9月至2003年7月就读复旦大学获经济学硕士、博士(全日制),2003年7月至2010年9月历任深圳市政府办公厅财金处主任科员、副处长,2010年10月至2015年5月历任深圳市国资委综合规划处副处长、处长,2015年5月至2017年11月,任深圳机场集团有限公司监事会主席","[""西安交通大学""]","王培先,男,1971年8月生,山东滕州人,复旦大学经济学博士,1995年7月毕业于西安交通大学物理学本科,1995年8月至1996年12月任青岛海信电器公司技术员,1997年9月至2003年7月就读复旦大学获经济学硕士、博士(全日制),2003年7月至2010年9月历任深圳市政府办公厅财金处主任科员、副处长,2010年10月至2015年5月历任深圳市国资委综合规划处副处长、处长,2015年5月至2017年11月,任深圳机场集团有限公司监事会主席",1,王培先,监事会主席,天健集团,000090,"[""博士"",""本科"",""硕士""]","[""主任""]",[],4
"戴湘桃先生,中国国籍,毕业于湖南大学电气工程系工业电气自动化专业,大学本科学历,工学学士,工程师","[""湖南大学""]","戴湘桃先生,中国国籍,毕业于湖南大学电气工程系工业电气自动化专业,大学本科学历,工学学士,工程师",1,戴湘桃,高级副总裁,中国长城,000066,"[""本科""]",[],[],1
"1983年毕业于哈尔滨工业大学,南开大学政治经济学博士,教授","[""哈尔滨工业大学""]","1983年毕业于哈尔滨工业大学,南开大学政治经济学博士,教授",1,张思民,"董事局主席,董事",海王生物,000078,"[""博士""]","[""教授""]",[],2
"1993-1999年就读于湖南大学土木工程学院,获结构工程专业博士学位","[""湖南大学""]","1993-1999年就读于湖南大学土木工程学院,获结构工程专业博士学位",1,江建,总工程师,天健集团,000090,"[""博士""]",[],[],1
"段军先生,现任中国长城科技集团股份有限公司高级副总裁,中国国籍,毕业于电子科技大学电子工程系,大学本科学历,工学学士","[""电子科技大学""]","段军先生,现任中国长城科技集团股份有限公司高级副总裁,中国国籍,毕业于电子科技大学电子工程系,大学本科学历,工学学士",1,段军,"高级副总裁,总法律顾问",中国长城,000066,"[""本科""]",[],[],1
"李璇先生,中国国籍,毕业于北京航空航天大学电子工程系信息工程专业,大学本科学历","[""北京航空航天大学""]","李璇先生,中国国籍,毕业于北京航空航天大学电子工程系信息工程专业,大学本科学历",1,李璇,高级副总裁,中国长城,000066,"[""本科""]",[],[],1
"2005年7月通过在职教育毕业于湖南大学土木工程学院,获土木工程硕士学位","[""湖南大学""]","2005年7月通过在职教育毕业于湖南大学土木工程学院,获土木工程硕士学位",1,陈强,副总裁,天健集团,000090,"[""硕士""]",[],[],1
"张冠杰,1962年生,中共党员,北京理工大学电子工程系雷达技术专业,工学学士,西安电子科技大学电子工程学院信息与通信专业,工学博士,研究员级高级工程师","[""电子科技大学""]","张冠杰,1962年生,中共党员,北京理工大学电子工程系雷达技术专业,工学学士,西安电子科技大学电子工程学院信息与通信专业,工学博士,研究员级高级工程师",1,张冠杰,"董事长,董事",北方国际,000065,"[""博士"",""本科""]","[""研究员""]",[],3
"郝峰先生,1973年生,中共党员,中国人民大学世界经济专业,博士研究生,研究员级高级工程师","[""中国人民大学""]","郝峰先生,1973年生,中共党员,中国人民大学世界经济专业,博士研究生,研究员级高级工程师",1,郝峰,副总经理,北方国际,000065,"[""博士"",""硕士""]","[""研究员""]",[],3
"主管药师,经济师,高级物流师,毕业于郑州大学药学专业,中国人民大学医药行业工商管理(MBA)","[""中国人民大学""]","主管药师,经济师,高级物流师,毕业于郑州大学药学专业,中国人民大学医药行业工商管理(MBA)",1,杨拴成,常务副总裁,海王生物,000078,"[""毕业""]",[],"[""MBA"",""工商管理""]",3
"李先生于1987年毕业于西安交通大学电子元件与材料专业,获工学学士学位,具备研究员职称","[""西安交通大学""]","李先生于1987年毕业于西安交通大学电子元件与材料专业,获工学学士学位,具备研究员职称",1,李自学,"董事长,执行董事",中兴通讯,000063,"[""本科""]","[""研究员""]",[],2
