tinySentence,matches
曾任中国国机重工集团有限公司党委副书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
1989年7月-1992年6月任深圳市教育学院党委办科员,"[""员""]"
1992年6月-1999年5月任深圳市委组织部老干处科员,"[""员""]"
2014年1月-2014年12月抽调市委第二批党的群众路线教育实践活动第一督导组任副组长),"[""组长""]"
2016年8月-至今任深圳市盐田港集团有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
以下简称“中兴新”)的股东西安微电子技术研究所任党委书记兼副所长,"[""书记""]"
党委书记,"[""书记""]"
华侨城集团党委常委,"[""常委""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
党校大学本科学历,"[""学历""]"
党工委委员,"[""委员""]"
华侨城光明(深圳)投资有限公司党委书记,"[""书记""]"
党委书记,"[""书记""]"
现任华侨城华南投资有限公司党委副书记,"[""书记""]"
党委书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
2007年8月至2010年12月任深圳市机场股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党群部纪检干事,"[""干事""]"
2008年3月至2017年9月历任深圳市机场股份有限公司团委副书记,"[""书记""]"
团委书记,"[""书记""]"
2019年8月至今任深圳市机场股份有限公司地面服务公司党总支书记,"[""书记""]"
党委组织部部长,"[""部长""]"
党委办公室主任,"[""主任""]"
党支部副书记,"[""书记""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
2019年8月至今兼任盐田国际集装箱码头有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
2015年1月至2015年10月任深圳市空港油料有限公司党支部书记,"[""书记""]"
党支部书记等职,"[""书记""]"
党支部书记,"[""书记""]"
深圳市市政工程总公司党总支书记等职务,"[""书记""]"
任深圳市市政工程总公司党委书记,"[""书记""]"
历任深圳三洋华强激光电子有限公司团委副书记,"[""书记""]"
深圳华强集团有限公司团委书记,"[""书记""]"
党支部书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
山西省建筑工程(集团)总公司党委委员,"[""委员""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
现任山西建设投资集团有限公司党委书记,"[""书记""]"
中共中央党校经济管理研究生,"[""研究生""]"
中共党员,"[""党员""]"
2018年1月至2018年12月任深圳市纪委监委第十纪检监察室干部,"[""干部""]"
党委副书记,"[""书记""]"
中共十六大代表,"[""代表""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
兼任华北计算机系统工程研究所所长兼党委副书记,"[""书记""]"
党委书记兼乐凯胶片股份有限公司董事长,"[""书记""]"
党委委员兼中国东方红卫星股份有限公司总裁,"[""委员""]"
中共党员,"[""党员""]"
期间被抽调参与十一届省委第六轮巡视工作,"[""工作""]"
中共党员,"[""党员""]"
西安高新区党工委副书记,"[""书记""]"
党工委副书记,"[""书记""]"
西安市人民政府党组成员,"[""员""]"
同时任西安曲江新区党工委书记,"[""书记""]"
陕西文化产业投资(集团)控股有限公司党委书记,"[""书记""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
党组成员(2006年9月),"[""员""]"
任深圳市福田区委常委,"[""常委""]"
党组副书记,"[""书记""]"
任深圳市委副秘书长,"[""秘书""]"
党委书记,"[""书记""]"
