match,sentence
"[{""keyword"":""党总支"",""positionStart"":52,""positionEnd"":55},{""keyword"":""党总支"",""positionStart"":83,""positionEnd"":86},{""keyword"":""党政办"",""positionStart"":39,""positionEnd"":42},{""keyword"":""党政办"",""positionStart"":90,""positionEnd"":93}]","曾任中国航空技术国际控股有限公司行政管理部部长、经理部副部长,北京航空航天大学党政办公室副主任、动力学院党总支副书记,北京航空航天大学动力学院学生工作负责人、动力学院党总支副书记、党政办公室副主任,中航国际经理部副部长、行政管理部部长"
"[{""keyword"":""党委"",""positionStart"":215,""positionEnd"":217},{""keyword"":""党委"",""positionStart"":238,""positionEnd"":240},{""keyword"":""党工委"",""positionStart"":102,""positionEnd"":105},{""keyword"":""党工委"",""positionStart"":125,""positionEnd"":128},{""keyword"":""纪委"",""positionStart"":58,""positionEnd"":60},{""keyword"":""纪委"",""positionStart"":79,""positionEnd"":81},{""keyword"":""纪委"",""positionStart"":221,""positionEnd"":223},{""keyword"":""纪委"",""positionStart"":243,""positionEnd"":245}]","历任江西省人民检察院反贪局科员级书记员、副科级助理检察员,深圳市人民检察院副主任科员、主任科员、监察员,深圳市福田区纪委监察综合室主任、主任科员,深圳市福田区纪委常委、监察局副局长,深圳市福田区香蜜湖街道党工委副书记、纪工委书记,深圳市福田区莲花街道党工委委员、副书记、纪工委委员、书记,深圳市人民政府国有资产监督管理委员会、深圳市国有资产监督管理局信访室正处级调研员,深圳赛格股份有限公司监事会主席,深圳市赛格集团有限公司董事、党委副书记、纪委书记,深圳市盐田港集团有限公司党委委员、纪委书记、监事会主席,现任深圳市农产品集团股份有限公司副总裁"
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党支部"",""positionStart"":47,""positionEnd"":50}]","现任深圳市赛格地产投资股份有限公司董事长、党委书记,深圳市赛格物业管理有限公司董事长、总经理、党支部书记"
"[{""keyword"":""党组"",""positionStart"":174,""positionEnd"":176},{""keyword"":""纪委"",""positionStart"":140,""positionEnd"":142}]",历任福建省经委体改处科员、副主任科员、主任科员、企业处主任科员、处长助理、助理调研员、培训与职称处副处长、企业管理处副处长、福建省厦门市经济发展局企业处处长兼市中小企业管理办公室主任、福建省厦门市政府国有资产监督管理委员会企业改革处处长、副局级稽查专员、市属国有企业监事会主席、市纪委国资监管工委委员、福建省厦门市政府办公厅副主任、副秘书长、办公厅党组成员
"[{""keyword"":""党委"",""positionStart"":17,""positionEnd"":19},{""keyword"":""党委"",""positionStart"":52,""positionEnd"":54}]",曾任广东铁青国际旅行社有限责任公司党委书记、副总经理、广州铁路(集团)公司羊城铁路实业发展总公司总经理、党委副书记兼广州庆达运输有限公司、广州铁城实业有限公司董事长
"[{""keyword"":""党委"",""positionStart"":27,""positionEnd"":29},{""keyword"":""党委"",""positionStart"":33,""positionEnd"":35},{""keyword"":""党委"",""positionStart"":62,""positionEnd"":64},{""keyword"":""党委"",""positionStart"":96,""positionEnd"":98},{""keyword"":""纪委"",""positionStart"":71,""positionEnd"":73}]","历任中国太平洋保险公司潍坊分公司总经理助理、副总经理、党委副书记、党委书记、总经理,中国太平洋财产保险股份有限公司山东分公司党委书记、总经理、纪委书记,中国太平洋财产保险股份有限公司北京分公司党委书记、总经理,中国太平洋财产保险股份有限公司副总经理,泛海控股股份有限公司第八届监事会监事等"
"[{""keyword"":""党群工作部"",""positionStart"":24,""positionEnd"":29},{""keyword"":""党工部"",""positionStart"":48,""positionEnd"":51}]",曾任上海祥阳勘测设计有限公司质检科质检专员、公司党群工作部企业文化专员、部长助理、高级党工经理、党工部副部长
"[{""keyword"":""党委"",""positionStart"":16,""positionEnd"":18},{""keyword"":""党群工作部"",""positionStart"":22,""positionEnd"":27}]",现任深圳市农产品集团股份有限公司党委办公室(党群工作部)副主任
"[{""keyword"":""党委"",""positionStart"":68,""positionEnd"":70},{""keyword"":""纪委"",""positionStart"":74,""positionEnd"":76}]","曾任纺织工业部人事劳动司副处长,纺织总会人事劳动部处长,纺织总会人事劳动部副主任、兼任纺织总会人才交流培训中心主任,华联发展集团有限公司党委副书记、纪委书记、副总裁,深圳中冠纺织印染股份有限公司副董事长,华联控股股份有限公司董事长、监事会主席等职"
"[{""keyword"":""团委"",""positionStart"":14,""positionEnd"":16},{""keyword"":""党办"",""positionStart"":22,""positionEnd"":24},{""keyword"":""纪委"",""positionStart"":102,""positionEnd"":104},{""keyword"":""党群工作部"",""positionStart"":115,""positionEnd"":120}]","历任深圳赛格日立彩显有限公司团委书记、总秘、党办副主任,深圳市赛格集团有限公司办公室业务助理,深圳赛格股份有限公司市场部部长助理、企划部部长助理、办公室副主任、主任、物业经营部部长,深圳市赛格集团有限公司纪委副书记、工委会副主席、党群工作部部长"
"[{""keyword"":""党校"",""positionStart"":18,""positionEnd"":20},{""keyword"":""省委"",""positionStart"":16,""positionEnd"":18}]","谭华森,男,1962年出生,广东省委党校经济学研究生,高级经济师"
"[{""keyword"":""中共"",""positionStart"":14,""positionEnd"":16},{""keyword"":""省委"",""positionStart"":18,""positionEnd"":20}]","2008年8月参加工作,历任中共广东省委办公厅综合一处科员、副主任科员"
"[{""keyword"":""党委"",""positionStart"":12,""positionEnd"":14},{""keyword"":""纪委"",""positionStart"":18,""positionEnd"":20}]","现任深圳赛格股份有限公司党委副书记、纪委书记、监事会主席,深圳华控赛格股份有限公司监事会主席,深圳市赛格康乐企业发展有限公司监事会主席,深圳市赛格宝华企业发展股份有限公司监事会主席,长沙赛格发展有限公司监事会主席"
"[{""keyword"":""中共"",""positionStart"":17,""positionEnd"":19},{""keyword"":""党校"",""positionStart"":22,""positionEnd"":24}]","孙世界,男,1962年11月出生,中共党员,党校本科,高级会计师"
"[{""keyword"":""党委"",""positionStart"":24,""positionEnd"":26},{""keyword"":""纪委"",""positionStart"":29,""positionEnd"":31}]",2014.01-2017.05任公司乙烯一分公司党委书记、纪委书记、工会主席
"[{""keyword"":""市委"",""positionStart"":39,""positionEnd"":41},{""keyword"":""市委"",""positionStart"":49,""positionEnd"":51},{""keyword"":""区委"",""positionStart"":24,""positionEnd"":26}]","曾任广东明瑞(集团)股份有限公司职员,深圳市龙岗区委(府)新闻信息科科长,深圳市委正处级秘书,深圳市委督查室督查室副主任"
"[{""keyword"":""党委"",""positionStart"":17,""positionEnd"":19},{""keyword"":""纪委"",""positionStart"":23,""positionEnd"":25}]",现任深圳市纺织(集团)股份有限公司党委副书记、纪委书记
"[{""keyword"":""中共"",""positionStart"":8,""positionEnd"":10},{""keyword"":""省委"",""positionStart"":12,""positionEnd"":14}]","2016年,荣获中共江苏省委、江苏省人民政府授予的“江苏省优秀企业家”称号,入选国家科技部“国家科技创新创业人才名单”"
"[{""keyword"":""党委"",""positionStart"":25,""positionEnd"":27},{""keyword"":""纪委"",""positionStart"":31,""positionEnd"":33}]","广东省广晟资产管理有限公司总经理助理、综合部部长,党委副书记、纪委书记、工会主席"
"[{""keyword"":""党委"",""positionStart"":27,""positionEnd"":29},{""keyword"":""党群"",""positionStart"":19,""positionEnd"":21}]","广东省广晟资产经营有限公司维稳部部长,党群人事部部长、党委办公室主任,人力资源部部长"
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党委"",""positionStart"":42,""positionEnd"":44},{""keyword"":""党委"",""positionStart"":71,""positionEnd"":73}]","深圳市中金岭南有色金属股份有限公司常务副总裁、董事兼总裁、党委副书记,董事长兼总裁、党委副书记,现任深圳市中金岭南有色金属股份有限公司董事长、党委书记、总裁"
"[{""keyword"":""中共"",""positionStart"":6,""positionEnd"":8},{""keyword"":""市委"",""positionStart"":10,""positionEnd"":12}]","1997年被中共深圳市委组织部确认为深圳市杰出专家,同年调入深圳大学任职"
"[{""keyword"":""党总支"",""positionStart"":22,""positionEnd"":25},{""keyword"":""支部"",""positionStart"":24,""positionEnd"":26}]",2016年4月至今任深圳南山热电股份有限公司党总支部书记、工会主席
"[{""keyword"":""党群工作部"",""positionStart"":42,""positionEnd"":47},{""keyword"":""党群工作部"",""positionStart"":52,""positionEnd"":57}]",历任深圳市赛格集团有限公司办公室业务主管兼总经理秘书、业务主管兼董事长秘书、副主任、党群工作部副总经理、党群工作部总经理
"[{""keyword"":""党委"",""positionStart"":31,""positionEnd"":33},{""keyword"":""党委"",""positionStart"":37,""positionEnd"":39}]","曾任冶金部长沙矿山设计院技术员,长沙矿冶研究院主任科员、处长、党委副书记、党委书记副院长,金瑞新材料科技股份有限公司董事、董事长等职,2014年7月退休"
"[{""keyword"":""共产党"",""positionStart"":14,""positionEnd"":17},{""keyword"":""党群工作部"",""positionStart"":71,""positionEnd"":76}]","刘军先生,1964年生,中国共产党党员,毕业于郑州轻工业大学机械制造工艺及设备专业,本科学历,曾任河南安彩高科车间主任、安彩集团资产管理部长兼党群工作部长"
"[{""keyword"":""党委"",""positionStart"":33,""positionEnd"":35},{""keyword"":""党委"",""positionStart"":60,""positionEnd"":62}]","现任深圳赛格股份有限公司董事,深圳市赛格集团有限公司董事、总经理、党委副书记,深圳市公路客货运输服务中心有限公司董事长、党委书记,深圳赛意法微电子有限公司董事,深圳市赛格新产业发展有限公司董事、深圳市赛格地产投资股份有限公司董事"
