tinySentence,matches
宁夏大古铁路公司大坝地区办公室主任兼地区党支部书记,"[""主任"",""书记""]"
科技部部长兼党支部书记,"[""部长"",""书记""]"
历任中共陕西省委办公厅秘书处助理调研员,"[""员"",""秘书""]"
历任中共陕西省委办公厅秘书处助理调研员,"[""员"",""秘书""]"
1990年至1993年任共青团宁夏回族自治区委员会秘书,"[""委员"",""秘书""]"
陕西烽火通信集团有限公司党委工作部政工秘书,"[""秘书"",""工作""]"
历任自治区国有资产监督管理委员会党委委员,"[""委员"",""委员""]"
党委工作部部长,"[""部长"",""工作""]"
重庆市审计局外资处处长支部书记,"[""书记"",""处长""]"
2013年11月至2018年4月任华润紫竹药业有限公司人力资源总监兼人力资源部部长兼科室党支部书记,"[""部长"",""书记""]"
党群工作部副部长,"[""部长"",""工作""]"
政治面貌:中共党员学历:本科,"[""党员"",""学历""]"
党委工作部副部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
现任无锡威孚高科技集团股份有限公司党群部部长兼纪检监察处处长,"[""部长"",""处长""]"
党委书记(法定代表人),"[""书记"",""代表""]"
党委工作部副部长,"[""部长"",""工作""]"
公司党委工作部党委秘书,"[""秘书"",""工作""]"
公司党委工作部党委秘书,"[""秘书"",""工作""]"
总经理(其间:2015年8月任广西北港物流有限公司党委书记),"[""书记"",""经理""]"
同济大学机械工程学院分党委副书记兼机车车辆工程系党总支书记,"[""书记"",""书记""]"
同济大学机械工程学院分党委副书记兼机车车辆工程系党总支书记,"[""书记"",""书记""]"
中共同济大学第二联合委员会书记等职务,"[""书记"",""委员""]"
党委副书记兼纪委书记(期间,"[""书记"",""书记""]"
党委副书记兼纪委书记(期间,"[""书记"",""书记""]"
1999年7月至2000年8月任北海新力实业股份有限公司党政办总经理秘书,"[""秘书"",""经理""]"
东北制药集团沈阳第一制药有限公司总经理兼党委书记,"[""书记"",""经理""]"
2014年12月毕业于辽宁省委党校工商管理专业,"[""专业"",""毕业""]"
2014年12月毕业于辽宁省委党校工商管理专业,"[""专业"",""毕业""]"
党支部书记兼副经理,"[""书记"",""经理""]"
原料药生产事业部总经理兼党委书记,"[""书记"",""经理""]"
党委委员兼综合办公室主任,"[""主任"",""委员""]"
2004年2月至2009年10月到党群工作部工作,"[""工作"",""工作""]"
2013年3月至2013年9月任河北建设投资集团有限责任公司工会副主席兼党群工作部(企业文化部)副主任,"[""主任"",""工作""]"
任河北省人民政府国有资产监督管理委员会党委副书记,"[""书记"",""委员""]"
双星东风轮胎有限公司副总经理兼党委副书记,"[""书记"",""经理""]"
河北西柏坡第二发电有限责任公司总经理(其间:2012年5月至11月兼任西柏坡发电党委书记),"[""书记"",""经理""]"
辽宁方大集团实业有限公司党群工作部部长,"[""部长"",""工作""]"
2020年5月至今任河北建投能源投资股份有限公司办公室副主任兼党委办公室副主任(主持工作),"[""主任"",""主任"",""工作""]"
生产部部长及党支部书记,"[""部长"",""书记""]"
公司物资供销公司党支书记兼总经理,"[""书记"",""经理""]"
党群工作部主任,"[""主任"",""工作""]"
任河北省委组织部办公室副主任科员,"[""员"",""主任""]"
主任科员(其间:2004年9月至2007年7月在中共河北省委党校经济管理专业学习),"[""员"",""主任"",""专业"",""学习""]"
主任科员(其间:2004年9月至2007年7月在中共河北省委党校经济管理专业学习),"[""员"",""主任"",""专业"",""学习""]"
主任科员(其间:2004年9月至2007年7月在中共河北省委党校经济管理专业学习),"[""员"",""主任"",""专业"",""学习""]"
任河北省委组织部副处长级秘书,"[""处长"",""秘书""]"
期间于1989年9月至1992年7月在河南省委党校学习经济管理专业(大专),"[""专业"",""学习""]"
期间于1989年9月至1992年7月在河南省委党校学习经济管理专业(大专),"[""专业"",""学习""]"
西安旅游股份有限公司党群工作部任主管,"[""主管"",""工作""]"
2002年12月毕业于中央党校本科班经济管理专业,"[""专业"",""毕业""]"
河北长安汽车有限公司总经理兼党委书记,"[""书记"",""经理""]"
中共成都市委办公厅副主任科员,"[""员"",""主任""]"
中共成都市委办公厅副主任科员,"[""员"",""主任""]"
氯化钛白筹备处党总支书记兼副处长,"[""书记"",""处长""]"
科技及知识产权管理部副部长兼机关党支部书记,"[""部长"",""书记""]"
中国兵器装备集团公司党群工作部(监察部)副主任,"[""主任"",""工作""]"
中共兵装集团公司直属委员会委员,"[""委员"",""委员""]"
中共攀钢集团有限公司委员会党校校长,"[""委员"",""校长""]"
中共攀钢集团有限公司委员会党校校长,"[""委员"",""校长""]"
鞍钢工程技术有限公司党委书记兼纪委书记,"[""书记"",""书记""]"
鞍钢工程技术有限公司党委书记兼纪委书记,"[""书记"",""书记""]"
中国***革命委员会成都市委副主任委员,"[""主任"",""委员"",""委员""]"
2018年5月至2020年3月任武警延边州支队副政治委员兼纪委书记,"[""书记"",""委员""]"
2011年2月至2012年10月任有色控股公司总经理助理兼技术中心党委书记,"[""书记"",""经理""]"
监察部部长兼攀枝花新钢钒股份有限公司纪委副书记,"[""部长"",""书记""]"
党群工作部部长,"[""部长"",""工作""]"
党委组织部副部长(主持工作),"[""部长"",""工作""]"
氰胺分公司经理兼党总支书记,"[""书记"",""经理""]"
现任宁夏英力特化工股份有公司总经理助理兼电石分公司党支部书记,"[""书记"",""经理""]"
长春市委研究室农村处主任科员,"[""员"",""主任""]"
宁夏英力特化工股份有限公司党群工作部部长,"[""部长"",""工作""]"
纪委副书记(主持工作),"[""书记"",""工作""]"
党委委员兼党委工作部主任,"[""主任"",""委员"",""工作""]"
党委委员兼党委工作部主任,"[""主任"",""委员"",""工作""]"
党群工作部副主任,"[""主任"",""工作""]"
党群工作部主任,"[""主任"",""工作""]"
珠海市市委组织部干部信息科(党员电教中心)副科长(副主任),"[""党员"",""主任"",""科长"",""干部""]"
天津泰达集团有限公司党群工作部副部长,"[""部长"",""工作""]"
被评为全省注册会计师行业优秀共产党员,"[""党员"",""评为""]"
长丝车间主任兼党支部书记,"[""主任"",""书记""]"
钨钼事业部总经理兼党委书记,"[""书记"",""经理""]"
2002年毕业于中央党校函授学院经济管理专业,"[""专业"",""毕业""]"
中共长春市宽城区奋进乡委员会书记,"[""书记"",""委员""]"
副总经理(期间曾兼任湖北省楚天数字电视有限公司党委书记,"[""书记"",""经理""]"
中共湖北省委宣传部舆情办主任(处长),"[""主任"",""处长""]"
中共湖北省委宣传部舆情办主任(处长),"[""主任"",""处长""]"
党委工作部部长,"[""部长"",""工作""]"
长春市人民政府办公厅副主任(党组成员),"[""员"",""主任""]"
中共长春市商业银行委员会书记,"[""书记"",""委员""]"
国家纺织工业局党群工作处处长,"[""处长"",""工作""]"
中国恒天党群工作部部长,"[""部长"",""工作""]"
