中信证券,600030,收入构成,报告日期,2020-06-30,
天津市,12490,-- ,12490,--,0.4%
广东省,53957,-- ,53957,--,1.73%
河南省,2114,-- ,2114,--,0.07%
福建省,3358,-- ,3358,--,0.11%
江苏省,33280,-- ,33280,--,1.07%
陕西省,5350,-- ,5350,--,0.17%
海南省,838,-- ,838,--,0.03%
湖南省,3815,-- ,3815,--,0.12%
山东省,122327,-- ,122327,--,3.93%
安徽省,3350,-- ,3350,--,0.11%
上海市,92975,-- ,92975,--,2.99%
山西省,2411,-- ,2411,--,0.08%

中信证券,600030,收入构成,报告日期,2014-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
湖北省,9307,-- ,9307,--,0.32%
江西省,1926,-- ,1926,--,0.07%
浙江省,157778,-- ,157778,--,5.4%
吉林省,31,-- ,31,--,0%
湖南省,2394,-- ,2394,--,0.08%
山东省,82280,-- ,82280,--,2.82%
安徽省,1311,-- ,1311,--,0.04%
贵州,0,-- ,0,--,0%
新疆,11,-- ,11,--,0%
重庆,8,-- ,8,--,0%
宁夏回族自治区,164,-- ,164,--,0.01%
河北省,1869,-- ,1869,--,0.06%
四川省,3581,-- ,3581,--,0.12%
广东省,35371,-- ,35371,--,1.21%
河南省,2362,-- ,2362,--,0.08%
内蒙古自治区,31,-- ,31,--,0%
陕西省,3829,-- ,3829,--,0.13%
海南省,479,-- ,479,--,0.02%
境外,520343,-- ,520343,--,17.82%
福建省,1236,-- ,1236,--,0.04%
江苏省,22940,-- ,22940,--,0.79%
辽宁省,6255,-- ,6255,--,0.21%
天津市,8285,-- ,8285,--,0.28%
公司本部,1939118,-- ,1939118,--,66.41%
甘肃,12,-- ,12,--,0%
上海市,53195,-- ,53195,--,1.82%
山西省,1596,-- ,1596,--,0.05%
北京市,63564,-- ,63564,--,2.18%
黑龙江省,55,-- ,55,--,0%
云南省,196,-- ,196,--,0.01%
广西省,226,-- ,226,--,0.01%

中信证券,600030,收入构成,报告日期,2014-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,218982,-- ,218982,--,20.79%
四川省,1085,-- ,1085,--,0.1%
山东省,26134,-- ,26134,--,2.48%
吉林省,7,-- ,7,--,0%
辽宁省,1923,-- ,1923,--,0.18%
河北省,600,-- ,600,--,0.06%
广东省,10172,-- ,10172,--,0.97%
湖南省,783,-- ,783,--,0.07%
天津市,2534,-- ,2534,--,0.24%
宁夏回族自治区,99,-- ,99,--,0.01%
云南省,81,-- ,81,--,0.01%
广西省,68,-- ,68,--,0.01%
湖北省,2532,-- ,2532,--,0.24%
北京市,20142,-- ,20142,--,1.91%
公司本部,690389,-- ,690389,--,65.53%
内蒙古自治区,4,-- ,4,--,0%
安徽省,409,-- ,409,--,0.04%
江苏省,7766,-- ,7766,--,0.74%
重庆,0,-- ,0,--,0%
黑龙江省,18,-- ,18,--,0%
浙江省,51250,-- ,51250,--,4.86%
上海市,15090,-- ,15090,--,1.43%
海南省,112,-- ,112,--,0.01%
河南省,650,-- ,650,--,0.06%
江西省,527,-- ,527,--,0.05%
陕西省,1182,-- ,1182,--,0.11%
福建省,409,-- ,409,--,0.04%
山西省,533,-- ,533,--,0.05%

中信证券,600030,收入构成,报告日期,2013-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外,303627,-- ,91492,--,13.34%
公司本部,966424,-- ,438961,--,63.99%
黑龙江省,1,-- ,-20,--,-0%
宁夏回族自治区,188,-- ,-23,--,-0%
陕西省,2973,-- ,1238,--,0.18%
云南省,82,-- ,-418,--,-0.06%
四川省,2449,-- ,1317,--,0.19%
海南省,245,-- ,-87,--,-0.01%
广西省,264,-- ,-320,--,-0.05%
广东省,22895,-- ,9405,--,1.37%
山东省,65647,-- ,30400,--,4.43%
江西省,1096,-- ,-1767,--,-0.26%
福建省,1050,-- ,-1108,--,-0.16%
湖南省,1525,-- ,711,--,0.1%
湖北省,5779,-- ,2133,--,0.31%
