江苏,222743,211673,11070,4.97%,21.39%
上海,22368,16832,5536,24.75%,10.7%
天津,307817,294912,12905,4.19%,24.94%

中储股份,600787,收入构成,报告日期,2009-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵销数,-80195,-80195,0,0%,0%
河北地区,29466,27353,2113,7.17%,2.47%
四川地区,21429,19992,1437,6.7%,1.68%
湖南地区,59628,57085,2543,4.27%,2.98%
湖北地区,31980,26969,5011,15.67%,5.86%
河南地区,90108,81429,8679,9.63%,10.16%
陕西地区,89583,85118,4465,4.98%,5.23%
辽宁地区,87016,82087,4929,5.66%,5.77%
北京地区,129988,125913,4075,3.13%,4.77%
山东地区,27584,25716,1868,6.77%,2.19%
江苏地区,377973,360968,17005,4.5%,19.9%
上海地区,57305,46693,10612,18.52%,12.42%
天津地区,477726,455018,22708,4.75%,26.58%

中储股份,600787,收入构成,报告日期,2009-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
减:公司内各地区抵销数,-7102,-7102,0,0%,0%
河北地区,14327,13165,1162,8.11%,2.77%
四川地区,10567,9828,738,6.99%,1.76%
湖南地区,21950,20835,1115,5.08%,2.66%
湖北地区,15727,13207,2520,16.02%,6.01%
河南地区,33439,29296,4142,12.39%,9.89%
陕西地区,40120,38188,1932,4.82%,4.61%
辽宁地区,25489,23063,2427,9.52%,5.79%
北京地区,44827,46305,-1479,-3.3%,-3.53%
山东地区,12454,11486,968,7.77%,2.31%
江苏地区,169641,160755,8886,5.24%,21.21%
上海地区,24243,18977,5266,21.72%,12.57%
天津地区,188443,174216,14226,7.55%,33.95%

中储股份,600787,收入构成,报告日期,2008-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
减:公司内各地区抵销数,-34664,-34658,-6,0.02%,-0.01%
河北地区,33586,31571,2015,6%,2.11%
四川地区,17662,16397,1264,7.16%,1.33%
湖南地区,63888,60583,3305,5.17%,3.47%
湖北地区,20837,16454,4383,21.03%,4.6%
河南地区,89565,79698,9866,11.02%,10.35%
陕西地区,73340,68830,4510,6.15%,4.73%
辽宁地区,75522,70506,5017,6.64%,5.26%
北京地区,452211,440438,11773,2.6%,12.35%
山东地区,18978,17144,1834,9.67%,1.92%
江苏地区,351152,335125,16027,4.56%,16.81%
上海地区,74319,65411,8908,11.99%,9.34%
天津地区,370742,344280,26461,7.14%,27.75%

中储股份,600787,收入构成,报告日期,2008-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵消,-1432,-1432,0,0%,0%
河北地区,17136,16068,1068,6.23%,2.07%
北京地区,263730,256281,7449,2.82%,14.45%
辽宁地区,37997,35171,2826,7.44%,5.48%
湖南地区,34681,32304,2377,6.85%,4.61%
湖北地区,11093,8936,2157,19.44%,4.18%
四川地区,8817,8192,625,7.09%,1.21%
陕西地区,38173,36560,1613,4.22%,3.13%
河南地区,41869,36931,4939,11.8%,9.58%
山东地区,10090,9181,909,9.01%,1.76%
江苏地区,167033,157500,9533,5.71%,18.49%
上海地区,40326,36004,4322,10.72%,8.38%
天津地区,197010,183265,13745,6.98%,26.66%

中储股份,600787,收入构成,报告日期,2007-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
减:公司内各地区抵销数,-19601,-19601,0,0%,0%
河北地区,24715,23267,1448,5.86%,2.04%
四川地区,10326,9436,890,8.62%,1.25%
湖南地区,84668,81255,3413,4.03%,4.81%
湖北地区,9310,6869,2441,26.22%,3.44%
河南地区,35328,28935,6393,18.1%,9.01%
陕西地区,42294,39356,2938,6.95%,4.14%
辽宁地区,10258,8572,1686,16.44%,2.38%
北京地区,455239,443742,11497,2.53%,16.2%
山东地区,9712,8533,1179,12.14%,1.66%
江苏地区,236729,226407,10321,4.36%,14.54%
上海地区,68781,61427,7354,10.69%,10.36%
天津地区,336749,315343,21407,6.36%,30.16%

中储股份,600787,收入构成,报告日期,2007-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵消,-18237,-18237,0,0%,0%
北京地区,3774,2079,1696,44.92%,5.51%
辽宁地区,467,425,42,8.9%,0.13%
湖南地区,49298,47834,1464,2.97%,4.76%
湖北地区,3531,2416,1115,31.58%,3.62%
四川地区,3880,3439,441,11.36%,1.43%
陕西地区,17490,16217,1273,7.28%,4.14%
河南地区,11959,9912,2047,17.12%,6.65%
山东地区,2735,2213,523,19.12%,1.7%
江苏地区,108740,103115,5625,5.17%,18.28%
上海地区,26289,22779,3510,13.35%,11.41%
天津地区,267171,254134,13037,4.88%,42.37%

中储股份,600787,收入构成,报告日期,2006-12-31,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公司内各业务分部间相互抵销,-52405,-52405,0,0%,0%
四川地区,8363,7482,784,10.54%,1.8%
湖南地区,93111,90515,2527,2.79%,5.79%
湖北地区,4959,2647,2115,46.62%,4.84%
河南地区,16777,12153,4417,27.56%,10.12%
陕西地区,24044,21450,2319,10.79%,5.31%
辽宁地区,14052,13699,339,2.52%,0.78%
北京地区,151235,147565,3603,2.43%,8.25%
山东地区,4725,3904,735,17.38%,1.68%
江苏地区,152794,144347,7965,5.53%,18.24%
上海地区,80167,72080,7327,10.09%,16.78%
天津地区,193314,180963,11531,6.39%,26.41%

中储股份,600787,收入构成,报告日期,2006-06-30,
按地域,收入(万元),成本(万元),利润(万元),毛利率,利润占比
内部抵消,-8841,-8841,0,0%,0%
北京地区,1845,1802,44,2.38%,0.19%
辽宁地区,143,93,50,35.16%,0.22%
湖南地区,24309,23037,1272,5.23%,5.53%
湖北地区,2323,1205,1117,48.11%,4.86%
四川地区,4024,3616,408,10.13%,1.77%
陕西地区,11413,10245,1168,10.23%,5.08%
河南地区,8839,6748,2091,23.66%,9.1%
山东地区,2477,2090,387,15.63%,1.68%
江苏地区,68305,64103,4202,6.15%,18.28%
上海地区,44297,40278,4018,9.07%,17.48%
天津地区,152879,144655,8224,5.38%,35.78%

