bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,-37137,12928,null,500403,254829,0.49,666682,4032,61970,39152,65975,1085322,000676.SZ,925877,260338,indicators,2019
null,4583,8122,null,34783,15820,0.01,28092,44,713,644,3237,79067,000677.SZ,86378,18853,indicators,2019
null,-2275,2280,null,102080,120505,0.03,119943,6,1226,-5895,1130,124131,000678.SZ,269518,142810,indicators,2019
null,-18477,-793,null,350870,343903,-0.92,61006,174,-32620,-35248,-37992,77576,000679.SZ,450694,383179,indicators,2019
null,14019,40221,null,538670,502734,0.05,340636,12765,5664,-1217,5809,640311,000680.SZ,893080,521578,indicators,2019
null,-15286,9262,null,69137,65105,0.31,307370,5825,21905,20129,26242,72211,000681.SZ,411718,104349,indicators,2019
null,40276,50835,null,528185,260503,0.18,326002,1366,24709,22663,31460,341862,000682.SZ,626114,270418,indicators,2019
null,15993,152161,null,608396,912029,0.18,1020354,21416,67348,66118,112393,769322,000683.SZ,2351926,1136091,indicators,2019
null,-42467,83226,null,228635,329529,0.71,1313234,90322,104638,102410,114173,221958,000685.SZ,1913303,565686,indicators,2019
null,700421,782813,null,null,null,0.43,1558348,117070,100708,98745,127742,796880,000686.SZ,6821793,5206810,indicators,2019
null,591,-4737,null,155045,211696,-1.49,-13490,-299,-112872,-114402,-116836,52981,000687.SZ,201636,212372,indicators,2019
null,15907,33923,null,64900,49963,0.15,213166,4431,17086,11291,21377,102053,000688.SZ,266539,53373,indicators,2019
null,-55239,190334,null,473667,344120,0.41,950018,20994,88319,72853,112876,562682,000690.SZ,1898619,948469,indicators,2019
null,913,-647,null,20117,13856,-0.03,7523,null,-1018,-1019,-1031,1391,000691.SZ,24039,15236,indicators,2019
null,-25470,215,null,223245,435085,-0.22,125514,6742,-11550,-20229,-23174,185066,000692.SZ,605414,472959,indicators,2019
null,-10886,-1769,null,54315,27026,0.06,37725,null,1333,1064,4788,57942,000695.SZ,97812,39453,indicators,2019
null,-18106,8872,null,90991,183849,-2.31,152651,-1418,-154845,-157081,-156890,197986,000697.SZ,363612,212077,indicators,2019
null,53839,100780,null,369227,463783,-0.91,371531,-591,-74576,-76782,-69326,1101995,000698.SZ,887010,514699,indicators,2019
null,2420,16882,null,357581,428169,0.12,237079,20389,10273,1954,13169,548953,000700.SZ,784566,546608,indicators,2019
null,28283,-287479,null,1502388,1438098,-6.4,230963,9147,-249310,-239009,-215050,8379794,000701.SZ,1973457,1666201,indicators,2019
null,2623,9205,null,26103,10678,0.04,53943,491,937,1606,3244,112301,000702.SZ,67869,11990,indicators,2019
null,-206311,-11208,null,2685300,3823218,1.13,2325301,150467,320135,272544,478911,7962054,000703.SZ,8523076,5616731,indicators,2019
null,7796,11836,null,166169,75818,0.63,168996,86,21157,6085,25837,324315,000705.SZ,258855,87680,indicators,2019
null,-531,14680,null,86831,234183,0.02,19036,1796,1126,-5690,-420,230459,000707.SZ,363608,345052,indicators,2019
null,-286457,792632,null,2945400,3786592,1.81,2524513,-10943,538647,521151,649242,7261987,000708.SZ,7258501,4730843,indicators,2019
null,-620252,980756,null,6784056,13031581,0.2,5659546,19436,255948,252867,362117,12149542,000709.SZ,21193568,15309971,indicators,2019
null,-1369,12306,null,185259,44972,1.1,232839,1511,39062,29386,45019,161764,000710.SZ,306888,72183,indicators,2019
null,-19524,-8864,null,749689,629050,-1.03,463590,1920,-103675,-106377,-103968,190141,000711.SZ,1211821,684483,indicators,2019
null,199991,254302,null,null,null,0.08,334230,102663,7058,-2036,20681,151927,000712.SZ,2730594,2207063,indicators,2019
null,1111,13197,null,157459,79596,0.13,169582,148,5723,4302,7376,240396,000713.SZ,260445,85471,indicators,2019
null,-33223,15601,null,112893,64586,0.37,147883,426,15432,12296,21724,270217,000715.SZ,229314,81431,indicators,2019
null,-27811,21338,null,218157,182904,0.05,275686,132,3385,97,3151,447564,000716.SZ,529904,245950,indicators,2019
null,9179,207081,null,531365,873505,0.75,799884,7074,182354,166975,195036,2914318,000717.SZ,1717150,917266,indicators,2019
null,-116532,-59349,null,1484573,761070,0.41,820962,522,123090,129234,175806,392428,000718.SZ,1797808,946773,indicators,2019
null,-81557,80531,null,779443,350194,0.81,827586,4687,82855,77306,85164,949839,000719.SZ,1232202,398893,indicators,2019
null,-55982,-27626,null,411608,169155,0.39,251279,389,48617,48611,68135,358039,000720.SZ,462710,202447,indicators,2019
null,-16367,-3375,null,29687,40901,-0.09,61547,null,-4715,-4939,-4292,50046,000721.SZ,110360,48319,indicators,2019
null,46276,12917,null,137638,5591,0.3,296752,8126,13836,10157,16639,24387,000722.SZ,319564,18525,indicators,2019
null,14242,192691,null,669336,894549,0.23,816827,823,95572,96275,149433,1409007,000723.SZ,1963997,1036096,indicators,2019
null,691963,2608308,null,10444864,7837829,0.05,9505813,34262,191864,-116679,39867,11605959,000725.SZ,34041220,19935451,indicators,2019
null,34342,108611,null,423055,318623,1.11,769714,2178,95239,66242,113161,680138,000726.SZ,1188543,358613,indicators,2019
null,-147269,63732,null,310967,845882,-1.25,414711,-8394,-564054,-568972,-968978,526654,000727.SZ,2146927,1442292,indicators,2019
null,198708,478295,null,null,null,0.27,2483462,51827,91436,86174,110453,319881,000728.SZ,8316882,5832242,indicators,2019
null,83072,157428,null,717987,428237,0.08,1312649,3917,22978,18835,42059,1146848,000729.SZ,1816151,434643,indicators,2019
null,-4929,37397,null,125574,64418,0.15,280132,487,8636,7886,9758,292913,000731.SZ,382158,92172,indicators,2019
null,-42287,1867280,null,17769638,14616644,0.33,2006096,170892,82732,-23586,110472,2374794,000732.SZ,22517532,19113742,indicators,2019
null,15417,25951,null,603429,198084,0.58,537828,-11211,29761,14088,39744,366828,000733.SZ,876660,338425,indicators,2019
null,-12860,-3818,null,141322,95942,0.03,408615,9194,3004,997,5961,116426,000735.SZ,654483,233693,indicators,2019
null,105628,-461172,null,4457579,2828989,1.01,273461,4362,54250,25888,179101,1406327,000736.SZ,4749238,4123133,indicators,2019
null,-26423,918,null,70332,110591,-0.09,38780,212,-4857,-6535,-2761,121465,000737.SZ,157505,117695,indicators,2019
null,75700,116440,null,471675,151919,0.25,563197,null,28128,22256,31120,309249,000738.SZ,789539,194787,indicators,2019
null,21635,136007,null,395797,256156,0.47,376799,-2073,55340,52973,64415,721071,000739.SZ,652259,275460,indicators,2019
null,208408,381901,null,null,null,0.12,1400951,76012,48772,47955,71548,356021,000750.SZ,6630814,5179730,indicators,2019
null,8179,86205,null,250006,172089,0.14,263175,-190,20286,17222,20210,801630,000751.SZ,458526,195352,indicators,2019
null,-267,4130,null,50845,53093,-1.26,3550,-1291,-33341,-161,-28915,31836,000752.SZ,90307,58844,indicators,2019
null,20577,55414,null,317477,224134,0.1,237582,-811,10364,6974,20433,284371,000753.SZ,549943,307302,indicators,2019
null,-44818,47856,null,60598,217156,0.32,121530,null,14982,15710,18274,88439,000755.SZ,855284,733753,indicators,2019
null,-10962,34827,null,242839,248551,0.48,296903,516,29997,25856,38744,560602,000756.SZ,643602,332550,indicators,2019
null,-19467,-11610,null,208167,130658,0.23,164698,-98,13950,4013,17254,444448,000757.SZ,307300,141800,indicators,2019
null,-6192,76371,null,1418150,1321972,-0.54,485658,6203,-105995,-106731,-89442,1107799,000758.SZ,2547336,1677381,indicators,2019
null,-29365,84529,null,327200,562619,0.01,335459,-711,1020,3322,12595,1554787,000759.SZ,921027,563637,indicators,2019
null,-327,94,null,28579,21023,0.02,52962,null,1217,-7104,-7108,973,000760.SZ,74031,21069,indicators,2019
null,168887,697782,null,3055824,3514303,0.14,1948767,106,55565,54953,65572,5274135,000761.SZ,6073143,4071860,indicators,2019
null,-8327,9916,null,188631,32902,0.16,206019,17362,8443,-8909,6832,65664,000762.SZ,286356,40165,indicators,2019
null,-3615,7486,null,168742,90503,-2.11,263093,1955,-204189,-208070,-201262,197721,000766.SZ,469805,203206,indicators,2019
null,-116647,221691,null,1123855,2496047,0.02,761403,8868,6813,-5512,2093,1202500,000767.SZ,5093598,4294729,indicators,2019
null,-196501,55347,null,4047346,3046226,0.21,1654904,94,56885,44152,66220,3429825,000768.SZ,4876267,3216041,indicators,2019
null,2020085,4020893,null,null,null,0.99,9123398,603637,753892,710486,1069990,2280988,000776.SZ,39439106,30025447,indicators,2019
null,-1432,-7897,null,153100,87074,0.35,147261,11365,13576,12390,12605,126588,000777.SZ,241859,94598,indicators,2019
null,84020,312833,null,2351744,2070376,0.38,2117399,23004,149709,130234,203277,4088971,000778.SZ,4956403,2720996,indicators,2019
null,-39518,17149,null,215745,140079,0.82,181251,6507,30066,25825,37353,213822,000779.SZ,340712,158230,indicators,2019
null,-61188,-22167,null,316482,87048,-0.08,384415,null,-7802,-24530,-6864,215367,000780.SZ,484553,100138,indicators,2019
null,-2189,17358,null,123763,88886,0.05,143515,1866,2488,-8648,5728,298655,000782.SZ,267782,120442,indicators,2019
null,723767,272179,null,null,null,0.3,2796459,202010,166580,161206,231923,703289,000783.SZ,10934300,8119069,indicators,2019
null,17370,257367,null,648241,786265,0.54,1512788,71863,312587,209225,360692,908500,000785.SZ,3378595,1766314,indicators,2019
null,9684,198499,null,633496,620683,0.26,1395163,6432,44114,237169,269809,1332301,000786.SZ,2146359,692110,indicators,2019
null,11212,-578,null,220073,119314,0.08,125187,-617,5019,5233,7339,250908,000788.SZ,245471,120837,indicators,2019
null,25483,245311,null,461150,304994,1.72,506487,6123,136900,135737,280437,1139043,000789.SZ,1180614,428317,indicators,2019
null,5513,6503,null,85411,24370,0.1,88071,-7,6163,6068,7591,74534,000790.SZ,113850,25778,indicators,2019
null,41484,153123,null,244679,224550,0.31,640074,9832,42250,41554,55853,226760,000791.SZ,1898025,1184623,indicators,2019
null,-178643,278855,null,918393,2920437,-16.46,-3052000,1528183,-4585998,-132228,-4485741,1784918,000792.SZ,2253150,5160017,indicators,2019
null,-49210,-30734,null,341958,277305,0.05,527382,6812,10459,-16201,53316,392034,000793.SZ,1287391,668221,indicators,2019
null,-4931,26727,null,250255,99449,0.13,229866,206,14254,12244,17099,251275,000795.SZ,344744,106623,indicators,2019
null,-68814,-40495,null,391436,378034,0.16,239156,7258,12565,7357,20550,603363,000796.SZ,651496,392590,indicators,2019
null,55692,-144737,null,1864988,1202545,0.21,559774,1346,35915,34389,61377,522553,000797.SZ,2027301,1433656,indicators,2019
null,-3656,-422,null,38593,26318,0.07,76432,-2093,2248,-4490,-2795,57867,000798.SZ,112473,31242,indicators,2019
null,71134,38191,null,246682,78416,0.92,243045,1119,29950,28737,39996,151190,000799.SZ,322858,79813,indicators,2019
null,137029,209834,null,995051,1086081,0.03,804766,51635,5277,-29855,-9212,2766431,000800.SZ,1965519,1154004,indicators,2019
null,639,16842,null,485996,286861,0.03,241413,496,2716,-2960,2859,298896,000801.SZ,546479,302782,indicators,2019
null,-72801,-52820,null,332794,197125,-3.22,249986,246,-230583,-228185,-232790,85534,000802.SZ,457723,208477,indicators,2019
null,-6869,4531,null,16916,45301,-1.51,-11077,12907,-19270,-18636,-26293,2353,000803.SZ,38577,49571,indicators,2019
null,3388,6320,null,106478,117194,-1.04,23898,451,-114687,-99896,-95198,78144,000806.SZ,171761,148331,indicators,2019
null,21614,368392,null,906745,2051467,0.19,1091967,2363,49523,33762,58272,2428362,000807.SZ,3957946,2700596,indicators,2019
null,-3089,25914,null,425266,200199,-0.1,311639,null,-8521,-9368,-8528,18413,000809.SZ,563887,252248,indicators,2019
null,83406,6074,null,896131,552336,0.61,376316,-1150,63200,58765,67653,889562,000810.SZ,1054126,663316,indicators,2019
null,22356,38411,null,430868,274022,0.68,380997,6968,45505,19074,53939,382083,000811.SZ,743218,346085,indicators,2019
null,13722,10899,null,101492,126138,0.03,138611,638,2556,2379,5680,91285,000812.SZ,299414,156047,indicators,2019
null,2965,155881,null,501124,29877,0.15,561286,6066,33692,25518,38004,177497,000813.SZ,592780,31615,indicators,2019
null,35636,9054,null,180386,93332,0.07,208591,203,5094,3586,5434,104378,000815.SZ,328900,117114,indicators,2019
null,-64194,-6292,null,177049,140985,-0.68,216452,1324,-96031,-89264,-102930,144535,000816.SZ,383166,147312,indicators,2019
null,-7650,21997,null,160999,167129,0.44,268245,55,30666,30046,36017,377395,000818.SZ,445009,169517,indicators,2019
null,5259,4649,null,71327,11651,0.21,81278,314,6030,5892,8487,174544,000819.SZ,95776,12299,indicators,2019
null,-650,-4954,null,4087,149444,-3.21,-196473,null,-204257,-169457,-169457,1623,000820.SZ,6621,203094,indicators,2019
null,-2880,3855,null,345800,248214,-0.98,225943,751,-51753,-53517,-52064,225762,000821.SZ,501042,262291,indicators,2019
null,44195,58739,null,210382,96096,0.18,336132,560,16304,10417,24029,462127,000822.SZ,451871,118746,indicators,2019
null,6571,67285,null,340302,162338,0.56,353552,-689,30309,27362,41485,484169,000823.SZ,570931,174861,indicators,2019
null,1664,387137,null,2196611,2693620,0.37,3194447,18889,211886,205184,215018,7041939,000825.SZ,6954821,3729644,indicators,2019
null,-1574,18049,null,1313522,1608296,0.21,1504641,-6147,35941,14679,63811,1017645,000826.SZ,4453385,2769817,indicators,2019
null,73045,149056,null,346446,241816,1.03,723894,28575,107388,106652,133795,163983,000828.SZ,1180082,439848,indicators,2019
null,9432,111025,null,976907,1010307,0.05,249434,-11733,5069,16920,8624,5294183,000829.SZ,1351520,1098277,indicators,2019
null,-11803,309581,null,309948,1443733,1.15,1119151,510,169162,93762,152063,1808158,000830.SZ,3021033,1889381,indicators,2019
null,-1651,-10313,null,225989,40155,0.09,222279,-409,8589,8579,9161,164729,000831.SZ,276569,45921,indicators,2019
null,-8787,10952,null,190060,144725,0.12,280538,181,8303,-10135,6872,350199,000833.SZ,437518,160146,indicators,2019
null,-897,-702,null,13286,87021,-1.12,-34591,null,-36629,-36715,-36707,4191,000835.SZ,54797,89431,indicators,2019
null,-24203,1614,null,126892,94507,0.03,124524,52,4095,1942,5012,113795,000836.SZ,257278,127570,indicators,2019
null,-10870,3989,null,473847,391440,-0.43,221483,793,-29756,-56246,-30125,316498,000837.SZ,858416,565812,indicators,2019
null,63342,182648,null,1736993,1236103,0.1,197929,1633,10854,8165,11186,339414,000838.SZ,1769070,1487612,indicators,2019
null,-20103,-3248,null,389419,677727,0,888160,41832,649,-27880,4193,350071,000839.SZ,1710913,828125,indicators,2019
null,27648,67542,null,253065,102304,0.47,199559,-185,46487,46533,61842,225539,000848.SZ,310550,107450,indicators,2019
null,13000,57076,null,316580,191879,0.21,424880,11646,19770,-22651,23366,297892,000850.SZ,755240,320252,indicators,2019
null,-120524,-77432,null,758654,509771,0.03,332330,25892,2312,-25088,2184,1140955,000851.SZ,933077,542025,indicators,2019
null,-5530,-63897,null,724307,680246,0.03,179914,1125,2495,-6316,5522,658835,000852.SZ,885396,690413,indicators,2019
null,711,951,null,172447,183591,0.1,34072,null,2361,-860,-508,254640,000856.SZ,230629,185587,indicators,2019
null,1424408,2311207,null,9662676,3003460,4.48,7429070,9250,1740216,1740593,2424580,5011811,000858.SZ,10639697,3030092,indicators,2019
null,886,5603,null,90330,33570,0.11,164166,630,8393,2101,7326,136057,000859.SZ,217047,51642,indicators,2019
null,190614,130460,null,1755680,1203783,1.09,743274,1115,80923,80047,118590,1490014,000860.SZ,2202156,1456129,indicators,2019
null,-84773,104727,null,596818,314060,0.07,371393,5306,13938,5753,28840,243579,000861.SZ,1101606,710125,indicators,2019
null,-4565,61444,null,205875,180723,0.04,262087,211,2893,5271,4575,135656,000862.SZ,935275,669828,indicators,2019
null,-2621,227511,null,1087469,430645,0.21,584953,2333,28209,16630,29895,198758,000863.SZ,1282717,712738,indicators,2019
null,11431,52226,null,370392,422110,0.05,42570,8432,3362,-9653,5456,337587,000868.SZ,525843,475243,indicators,2019
null,15891,83784,null,538026,265616,1.65,1030891,511,112974,89208,152322,503101,000869.SZ,1364793,306909,indicators,2019
null,-16281,263059,null,704956,1267686,0.07,741208,-2196,14765,-2564,36067,845415,000875.SZ,4224141,3157038,indicators,2019
null,32136,443689,null,1717855,2619590,1.22,2606169,237855,504200,527213,666870,8205054,000876.SZ,6421767,3156780,indicators,2019
null,-52607,267607,null,303566,340099,1.56,964676,599,163576,144128,239709,968822,000877.SZ,1527824,514008,indicators,2019
null,10821,107108,null,1966222,2008539,0.39,837214,16935,66982,57665,120380,6329000,000878.SZ,4236392,3023733,indicators,2019
null,11076,13592,null,208240,259405,0.3,145899,5102,8368,7957,6918,265876,000880.SZ,425458,279558,indicators,2019
null,25921,72886,null,748398,434482,0.1,572530,3821,10268,-4030,7045,702162,000881.SZ,1142836,526584,indicators,2019
null,-17201,22150,null,498901,343794,0.02,809767,27165,4814,-12829,6555,125414,000882.SZ,1394590,571182,indicators,2019
null,5743,330014,null,542436,1238080,0.23,2729209,43202,149854,144014,243358,1581076,000883.SZ,6036498,2676781,indicators,2019
null,6935,118587,null,118879,256463,1.26,299307,1314,62414,65211,89571,226298,000885.SZ,899750,566960,indicators,2019
null,-12479,-242,null,218888,40576,0.06,278769,6265,6236,788,8151,17390,000886.SZ,325754,46409,indicators,2019
null,134324,107342,null,917006,384378,0.5,880602,3036,60485,48103,75269,1169831,000887.SZ,1807602,921139,indicators,2019
null,17697,39750,null,133229,31257,0.43,253540,-635,22618,22460,26865,110771,000888.SZ,307615,52790,indicators,2019
null,12724,41481,null,193863,150739,-1.86,232263,-3292,-124017,-120363,-121632,316263,000889.SZ,390760,158497,indicators,2019
null,18318,167581,null,422452,452149,-2.05,-14828,1142,-77756,-77951,-74628,100361,000890.SZ,478810,493639,indicators,2019
null,-11768,-1020,null,331686,86938,-0.56,265383,967,-55116,-54995,-58499,54005,000892.SZ,354976,89645,indicators,2019
null,32913,8046,null,62586,23974,0.05,365348,790,4144,3392,9447,60544,000893.SZ,421900,29320,indicators,2019
