bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,9260,-10049,null,255806,322524,0.09,144969,19204,3804,-20046,1759,760062,002336.SZ,474816,329748,indicators,2019
null,6869,8729,null,122076,26673,0.02,122048,317,1089,-164,1116,52745,002337.SZ,157775,26973,indicators,2019
null,5121,7196,null,73194,8285,0.2,84869,1900,4828,3695,5153,40219,002338.SZ,104045,11524,indicators,2019
null,3511,26859,null,269685,121898,0.1,178740,-153,5172,3851,7384,184135,002339.SZ,358375,156680,indicators,2019
null,-53267,73712,null,1358862,1200436,0.18,1048453,2838,73527,70589,85890,1435401,002340.SZ,2684103,1577178,indicators,2019
null,-94085,-73369,null,292769,401870,0.01,492902,1227,988,-3344,-1011,332197,002341.SZ,956374,466546,indicators,2019
null,-9893,20694,null,226605,146061,0.02,243056,38,1823,1376,2165,196595,002342.SZ,401118,158062,indicators,2019
null,-23128,22343,null,238987,93317,0.35,164058,11,16472,16050,17403,117143,002343.SZ,262312,93519,indicators,2019
null,-3801,93596,null,246328,230519,0.22,754520,2602,27934,25565,39789,141264,002344.SZ,1062910,305387,indicators,2019
null,-2633,20748,null,315232,176430,0.09,338709,4847,8119,6343,12000,354278,002345.SZ,527952,185860,indicators,2019
null,9916,5608,null,77950,74897,0.21,203045,8078,9466,4385,13952,45166,002346.SZ,291895,88850,indicators,2019
null,4136,9419,null,170068,97240,0.06,115425,-217,2519,2224,3215,81838,002347.SZ,219015,101410,indicators,2019
null,-7719,139,null,77589,24731,0.02,130375,1335,1631,361,7094,77967,002348.SZ,187449,40100,indicators,2019
null,9044,28538,null,110267,55418,-0.48,184991,973,-39362,-41930,-49816,115739,002349.SZ,294134,79362,indicators,2019
null,-18586,20636,null,216230,139763,0.17,177529,1150,8238,6733,10765,242099,002350.SZ,338170,141247,indicators,2019
null,-1922,6081,null,166936,31495,0.21,186901,2838,12279,9357,15625,124315,002351.SZ,221677,34059,indicators,2019
null,246518,912127,null,4289702,3098206,1.32,4241971,107580,579651,420776,740861,11219340,002352.SZ,9253539,5004178,indicators,2019
null,44424,23316,null,1298506,618738,1.42,976573,3515,136069,135349,165997,692543,002353.SZ,1651940,647944,indicators,2019
null,-26308,46545,null,155001,390445,-1.28,77641,1343,-119768,-119562,-115984,133491,002354.SZ,635756,551224,indicators,2019
null,-20298,6147,null,323318,148458,0.02,282790,1539,1082,-3534,2877,185251,002355.SZ,477874,180159,indicators,2019
null,-2294,1838,null,150978,369380,-3.63,-181684,-116,-191713,-185977,-194136,84963,002356.SZ,231224,481099,indicators,2019
null,-3153,25262,null,25217,86415,0.27,117921,10045,8375,8187,10845,88561,002357.SZ,257707,130661,indicators,2019
null,-649,134768,null,493212,344046,0.01,453024,837,933,-11695,-2227,162675,002358.SZ,807211,353075,indicators,2019
null,-6433,-16676,null,174571,835507,-2.31,246604,41,-251674,-251288,-283133,28616,002359.SZ,1413618,1167014,indicators,2019
null,20324,16673,null,83244,24403,0.41,113922,4631,15223,11376,20276,84289,002360.SZ,149720,31180,indicators,2019
null,4305,19484,null,226352,175109,0.15,179745,2327,12519,3089,14471,207869,002361.SZ,362669,179593,indicators,2019
null,12206,8815,null,98180,34176,0.17,85888,1314,3743,256,4391,110451,002362.SZ,130092,34332,indicators,2019
null,-4718,13354,null,215506,98109,0.15,235985,1161,6185,4948,7778,163285,002363.SZ,343779,101106,indicators,2019
null,-30240,1927,null,204868,48356,0.14,214500,-407,7671,6965,8401,117360,002364.SZ,264692,48802,indicators,2019
null,9437,23955,null,75704,20790,0.31,161290,1502,8993,6899,11762,137044,002365.SZ,190785,25114,indicators,2019
null,-684,27204,null,360004,379203,-0.74,231497,null,-64253,-64843,-66103,50976,002366.SZ,663551,414288,indicators,2019
null,42791,42132,null,396957,271371,0.32,294737,239,25161,24342,30044,366313,002367.SZ,579470,281776,indicators,2019
null,25662,-28256,null,787694,636803,0.81,324456,168,33536,26353,37891,706274,002368.SZ,1065602,723303,indicators,2019
null,13344,27354,null,194768,161451,0.09,198766,1427,5025,3512,5543,334473,002369.SZ,394052,195872,indicators,2019
null,63824,-5574,null,148212,17338,-3.86,63306,-127550,-206865,-208807,-206840,70929,002370.SZ,226834,163528,indicators,2019
null,181823,-94147,null,846964,479065,0.67,585590,null,30903,7016,42061,405831,002371.SZ,1373476,763456,indicators,2019
null,58074,89465,null,309392,89251,0.63,388681,920,98325,93439,119378,466406,002372.SZ,482467,91897,indicators,2019
null,41094,93721,null,996374,652788,0.69,900467,9,101337,75181,117393,872219,002373.SZ,1622041,690561,indicators,2019
null,19185,15803,null,261961,246452,0.04,243051,13,3381,-2912,4353,117255,002374.SZ,600162,343185,indicators,2019
null,25820,42856,null,1836954,1324916,0.32,801816,4370,42567,33678,54264,1078563,002375.SZ,2163013,1336168,indicators,2019
null,78219,33874,null,330265,135606,0.48,356728,14748,32242,24294,40301,245086,002376.SZ,596762,210003,indicators,2019
null,5565,43771,null,247947,124045,0.34,537420,166,30717,28894,33451,534477,002377.SZ,665275,126351,indicators,2019
null,10599,11129,null,179982,137534,-0.31,168481,366,-28842,-32803,-29274,182780,002378.SZ,368882,199743,indicators,2019
null,4158,-11251,null,115832,88116,0.35,158451,null,32458,-5401,35767,287827,002379.SZ,246567,88116,indicators,2019
null,23304,12335,null,199589,48081,0.53,220912,1512,12722,9553,13886,75014,002380.SZ,275300,49321,indicators,2019
null,4177,27326,null,169384,55699,0.6,177644,812,24863,23889,29745,152528,002381.SZ,232804,55766,indicators,2019
null,42700,78279,null,344482,265755,0.51,843231,301,49030,47303,56827,347561,002382.SZ,1325918,479569,indicators,2019
null,15125,-48398,null,479105,523640,-1.37,292311,6543,-99516,-80695,-88145,152671,002383.SZ,856585,555596,indicators,2019
null,70110,265146,null,1649562,1837992,0.44,864612,1224,70266,41878,76353,2355283,002384.SZ,3167027,2297287,indicators,2019
null,41828,178710,null,690537,569177,0.12,1007199,17608,51329,32854,67507,1657790,002385.SZ,1890415,744093,indicators,2019
null,-16708,61693,null,448864,797235,0.1,496616,-224,7876,1685,11577,2310321,002386.SZ,1377275,870295,indicators,2019
null,-398485,120948,null,699994,994636,0.05,1497250,6675,6403,-94006,8907,268956,002387.SZ,3715108,1793889,indicators,2019
null,-5747,4508,null,172550,84498,0.1,118782,-9,5177,5035,6456,151499,002388.SZ,215833,85477,indicators,2019
null,13913,32160,null,375004,145644,0.25,642764,187,23188,23508,28732,310050,002389.SZ,815316,158374,indicators,2019
