_id,name,company,title,href,includes,description
5f6583dbade9005a1ece549b,田阡,陕天然气,田阡(陕天然气独立董事),/item/%E7%94%B0%E9%98%A1/53454704,101,田阡，陕天然气独立董事。田阡先生，汉族，陕西周至人，1961年12月出生，大专学历，注册会计师。1984年9月至1988年6月，就职于天达航空工业总公司财务部。1988年7...
5f6583e7ade9005a1ece5788,刘岩,美邦服饰,,,0,
5f6583b0ade9005a1ece4a19,刘公直,兆新,,,0,
5f6583b3ade9005a1ece4ad1,马毅,利尔化学,,,0,
5f6583b7ade9005a1ece4bea,何淑静,升达,,,0,
5f6583bfade9005a1ece4dcb,李新宇,拓维信息,李新宇(湖南拓维信息集团总裁),https://baike.baidu.com/item/%E6%9D%8E%E6%96%B0%E5%AE%87/4773101,101,2015年5月6日，拓维信息发布重大事项公告称，公司董事长李新宇、总经理宋鹰应相关部门要求协助调查，同时检察机关自5月5日起对两人执行指定居所监视居住。此前有消息...
5f6583c0ade9005a1ece4e15,彭卫娟,拓维信息,,,0,
5f6583d0ade9005a1ece51db,于定明,西仪股份,,,0,
5f6583d6ade9005a1ece535e,何大安,浙富控股,,,0,
5f6583b3ade9005a1ece4adc,罗宏,利尔化学,罗宏(三泰控股独立董事),https://baike.baidu.com/item/%E7%BD%97%E5%AE%8F/53396517,1,罗宏先生:中国国籍，1971年出生，会计学博士，西南财经大学会计学院教授，博士生导师，担任中国会计学会会计教育专业委员会委员，全国会计学术领军人才。目前担任利尔化学...
